"sigma_e","sigma_b","e_dsn","b_dsn","fc.b0","fc.b1","s_int","s_slope"
2,1,"exp","exp",0.263705686812245,0.564295822396649,30,30
2,1,"exp","norm",0.249195043584775,0.554016539567705,30,30
2,1,"exp","t",0.291709621280408,0.576966046007981,30,30
2,1,"norm","exp",0.261925026309945,0.558672092058835,30,30
2,1,"norm","norm",0.246054964061476,0.553144803398115,30,30
2,1,"norm","t",0.291929612840876,0.58813849278545,30,30
2,1,"t","exp",0.260986287532195,0.561408586705483,30,30
2,1,"t","norm",0.247149505203195,0.551477946322981,30,30
2,1,"t","t",0.287435506847877,0.579158870061371,30,30
1,1,"exp","exp",0.0922493288303279,0.318831938466785,30,30
1,1,"exp","norm",0.0872053861272814,0.299881901824343,30,30
1,1,"exp","t",0.104997064791904,0.343308233623612,30,30
1,1,"norm","exp",0.0921251306150965,0.316160277985183,30,30
1,1,"norm","norm",0.0860298284118717,0.30273169176081,30,30
1,1,"norm","t",0.106056900166022,0.344576939174613,30,30
1,1,"t","exp",0.0919216982310693,0.311533376100413,30,30
1,1,"t","norm",0.0858927961754278,0.301023911674005,30,30
1,1,"t","t",0.104308768945909,0.343586452259536,30,30
1,2,"exp","exp",0.0271783949080316,0.123661810472173,30,30
1,2,"exp","norm",0.0253812969471809,0.11411206974267,30,30
1,2,"exp","t",0.0314877790123495,0.139081428124896,30,30
1,2,"norm","exp",0.0272108115407663,0.123201762730778,30,30
1,2,"norm","norm",0.0250116018031129,0.115077998297853,30,30
1,2,"norm","t",0.0319051284484279,0.139715334405444,30,30
1,2,"t","exp",0.02703703015914,0.120181195435815,30,30
1,2,"t","norm",0.0250729109866878,0.113960691266257,30,30
1,2,"t","t",0.0316224940743362,0.138845967724294,30,30
2,1,"exp","exp",0.286769326841572,0.582515344751538,35,35
2,1,"exp","norm",0.272510448090457,0.572759534924598,35,35
2,1,"exp","t",0.31565206557259,0.594924987522482,35,35
2,1,"norm","exp",0.285053364961548,0.577228231072685,35,35
2,1,"norm","norm",0.269228737936871,0.572174761206326,35,35
2,1,"norm","t",0.31586618870998,0.606068115488415,35,35
