"error","ranef","alpha","var.settings","variable","prop.reject","nortest","random.effect","rotation","s"
"exp","exp",0.05,"sige2_sigb1","AD.b0",0.108,"AD","b0","Rotated",30
"exp","exp",0.1,"sige2_sigb1","AD.b0",0.176,"AD","b0","Rotated",30
"exp","norm",0.05,"sige2_sigb1","AD.b0",0.056,"AD","b0","Rotated",30
"exp","norm",0.1,"sige2_sigb1","AD.b0",0.115,"AD","b0","Rotated",30
"exp","t",0.05,"sige2_sigb1","AD.b0",0.119,"AD","b0","Rotated",30
"exp","t",0.1,"sige2_sigb1","AD.b0",0.186,"AD","b0","Rotated",30
"norm","exp",0.05,"sige2_sigb1","AD.b0",0.1,"AD","b0","Rotated",30
"norm","exp",0.1,"sige2_sigb1","AD.b0",0.166,"AD","b0","Rotated",30
"norm","norm",0.05,"sige2_sigb1","AD.b0",0.057,"AD","b0","Rotated",30
"norm","norm",0.1,"sige2_sigb1","AD.b0",0.108,"AD","b0","Rotated",30
"norm","t",0.05,"sige2_sigb1","AD.b0",0.121,"AD","b0","Rotated",30
"norm","t",0.1,"sige2_sigb1","AD.b0",0.18,"AD","b0","Rotated",30
"t","exp",0.05,"sige2_sigb1","AD.b0",0.11,"AD","b0","Rotated",30
"t","exp",0.1,"sige2_sigb1","AD.b0",0.172,"AD","b0","Rotated",30
"t","norm",0.05,"sige2_sigb1","AD.b0",0.05,"AD","b0","Rotated",30
"t","norm",0.1,"sige2_sigb1","AD.b0",0.096,"AD","b0","Rotated",30
"t","t",0.05,"sige2_sigb1","AD.b0",0.139,"AD","b0","Rotated",30
"t","t",0.1,"sige2_sigb1","AD.b0",0.206,"AD","b0","Rotated",30
"exp","exp",0.05,"sige1_sigb1","AD.b0",0.13,"AD","b0","Rotated",30
"exp","exp",0.1,"sige1_sigb1","AD.b0",0.193,"AD","b0","Rotated",30
"exp","norm",0.05,"sige1_sigb1","AD.b0",0.042,"AD","b0","Rotated",30
"exp","norm",0.1,"sige1_sigb1","AD.b0",0.093,"AD","b0","Rotated",30
"exp","t",0.05,"sige1_sigb1","AD.b0",0.169,"AD","b0","Rotated",30
"exp","t",0.1,"sige1_sigb1","AD.b0",0.25,"AD","b0","Rotated",30
"norm","exp",0.05,"sige1_sigb1","AD.b0",0.142,"AD","b0","Rotated",30
"norm","exp",0.1,"sige1_sigb1","AD.b0",0.218,"AD","b0","Rotated",30
"norm","norm",0.05,"sige1_sigb1","AD.b0",0.045,"AD","b0","Rotated",30
"norm","norm",0.1,"sige1_sigb1","AD.b0",0.1,"AD","b0","Rotated",30
"norm","t",0.05,"sige1_sigb1","AD.b0",0.144,"AD","b0","Rotated",30
"norm","t",0.1,"sige1_sigb1","AD.b0",0.215,"AD","b0","Rotated",30
"t","exp",0.05,"sige1_sigb1","AD.b0",0.143,"AD","b0","Rotated",30
"t","exp",0.1,"sige1_sigb1","AD.b0",0.223,"AD","b0","Rotated",30
"t","norm",0.05,"sige1_sigb1","AD.b0",0.051,"AD","b0","Rotated",30
"t","norm",0.1,"sige1_sigb1","AD.b0",0.09,"AD","b0","Rotated",30
"t","t",0.05,"sige1_sigb1","AD.b0",0.173,"AD","b0","Rotated",30
"t","t",0.1,"sige1_sigb1","AD.b0",0.238,"AD","b0","Rotated",30
"exp","exp",0.05,"sige1_sigb2","AD.b0",0.156,"AD","b0","Rotated",30
"exp","exp",0.1,"sige1_sigb2","AD.b0",0.246,"AD","b0","Rotated",30
"exp","norm",0.05,"sige1_sigb2","AD.b0",0.042,"AD","b0","Rotated",30
"exp","norm",0.1,"sige1_sigb2","AD.b0",0.096,"AD","b0","Rotated",30
"exp","t",0.05,"sige1_sigb2","AD.b0",0.166,"AD","b0","Rotated",30
"exp","t",0.1,"sige1_sigb2","AD.b0",0.244,"AD","b0","Rotated",30
"norm","exp",0.05,"sige1_sigb2","AD.b0",0.164,"AD","b0","Rotated",30
"norm","exp",0.1,"sige1_sigb2","AD.b0",0.257,"AD","b0","Rotated",30
"norm","norm",0.05,"sige1_sigb2","AD.b0",0.043,"AD","b0","Rotated",30
"norm","norm",0.1,"sige1_sigb2","AD.b0",0.112,"AD","b0","Rotated",30
"norm","t",0.05,"sige1_sigb2","AD.b0",0.168,"AD","b0","Rotated",30
"norm","t",0.1,"sige1_sigb2","AD.b0",0.242,"AD","b0","Rotated",30
"t","exp",0.05,"sige1_sigb2","AD.b0",0.186,"AD","b0","Rotated",30
"t","exp",0.1,"sige1_sigb2","AD.b0",0.263,"AD","b0","Rotated",30
"t","norm",0.05,"sige1_sigb2","AD.b0",0.049,"AD","b0","Rotated",30
"t","norm",0.1,"sige1_sigb2","AD.b0",0.103,"AD","b0","Rotated",30
"t","t",0.05,"sige1_sigb2","AD.b0",0.189,"AD","b0","Rotated",30
"t","t",0.1,"sige1_sigb2","AD.b0",0.279,"AD","b0","Rotated",30
"exp","exp",0.05,"sige2_sigb1","AD.b0",0.113,"AD","b0","Rotated",35
"exp","exp",0.1,"sige2_sigb1","AD.b0",0.181,"AD","b0","Rotated",35
"exp","norm",0.05,"sige2_sigb1","AD.b0",0.055,"AD","b0","Rotated",35
"exp","norm",0.1,"sige2_sigb1","AD.b0",0.107,"AD","b0","Rotated",35
"exp","t",0.05,"sige2_sigb1","AD.b0",0.127,"AD","b0","Rotated",35
"exp","t",0.1,"sige2_sigb1","AD.b0",0.191,"AD","b0","Rotated",35
"norm","exp",0.05,"sige2_sigb1","AD.b0",0.11,"AD","b0","Rotated",35
"norm","exp",0.1,"sige2_sigb1","AD.b0",0.166,"AD","b0","Rotated",35
"norm","norm",0.05,"sige2_sigb1","AD.b0",0.05,"AD","b0","Rotated",35
"norm","norm",0.1,"sige2_sigb1","AD.b0",0.106,"AD","b0","Rotated",35
"norm","t",0.05,"sige2_sigb1","AD.b0",0.131,"AD","b0","Rotated",35
"norm","t",0.1,"sige2_sigb1","AD.b0",0.212,"AD","b0","Rotated",35
"t","exp",0.05,"sige2_sigb1","AD.b0",0.113,"AD","b0","Rotated",35
"t","exp",0.1,"sige2_sigb1","AD.b0",0.185,"AD","b0","Rotated",35
"t","norm",0.05,"sige2_sigb1","AD.b0",0.042,"AD","b0","Rotated",35
"t","norm",0.1,"sige2_sigb1","AD.b0",0.103,"AD","b0","Rotated",35
"t","t",0.05,"sige2_sigb1","AD.b0",0.148,"AD","b0","Rotated",35
"t","t",0.1,"sige2_sigb1","AD.b0",0.212,"AD","b0","Rotated",35
"exp","exp",0.05,"sige1_sigb1","AD.b0",0.138,"AD","b0","Rotated",35
"exp","exp",0.1,"sige1_sigb1","AD.b0",0.205,"AD","b0","Rotated",35
"exp","norm",0.05,"sige1_sigb1","AD.b0",0.043,"AD","b0","Rotated",35
"exp","norm",0.1,"sige1_sigb1","AD.b0",0.089,"AD","b0","Rotated",35
"exp","t",0.05,"sige1_sigb1","AD.b0",0.192,"AD","b0","Rotated",35
"exp","t",0.1,"sige1_sigb1","AD.b0",0.271,"AD","b0","Rotated",35
"norm","exp",0.05,"sige1_sigb1","AD.b0",0.149,"AD","b0","Rotated",35
"norm","exp",0.1,"sige1_sigb1","AD.b0",0.227,"AD","b0","Rotated",35
"norm","norm",0.05,"sige1_sigb1","AD.b0",0.043,"AD","b0","Rotated",35
"norm","norm",0.1,"sige1_sigb1","AD.b0",0.095,"AD","b0","Rotated",35
"norm","t",0.05,"sige1_sigb1","AD.b0",0.155,"AD","b0","Rotated",35
"norm","t",0.1,"sige1_sigb1","AD.b0",0.225,"AD","b0","Rotated",35
"t","exp",0.05,"sige1_sigb1","AD.b0",0.153,"AD","b0","Rotated",35
"t","exp",0.1,"sige1_sigb1","AD.b0",0.23,"AD","b0","Rotated",35
"t","norm",0.05,"sige1_sigb1","AD.b0",0.048,"AD","b0","Rotated",35
"t","norm",0.1,"sige1_sigb1","AD.b0",0.09,"AD","b0","Rotated",35
